name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_2312_04,5.0,42,free,14556,14556,14486,15,15,15,1,1,5.019,0.4832251829352478
XML100_2312_04,5.0,43,free,14529,14529,14486,15,15,15,1,1,5.047,0.29683832666022364
XML100_2312_04,5.0,44,free,14574,14574,14486,15,15,15,1,1,5.025,0.6074830871185972
XML100_2312_04,10.0,42,free,14556,14556,14486,15,15,15,1,1,10.037,0.4832251829352478
XML100_2312_04,10.0,43,free,14529,14529,14486,15,15,15,1,1,10.033,0.29683832666022364
XML100_2312_04,10.0,44,free,14565,14565,14486,15,15,15,1,1,10.049,0.5453541350269225
XML100_3323_12,2.0,42,free,17411,17411,17334,9,9,9,1,1,2.031,0.4442136840890735
XML100_3323_12,2.0,43,free,17557,17557,17334,9,9,9,1,1,2.019,1.2864889811930311
XML100_1371_27,30.0,42,free,32186,32186,32186,33,29,33,1,1,30.03,0.0
XML100_3323_12,2.0,44,free,17542,17542,17334,9,9,9,1,1,2.024,1.1999538479289258
XML100_1371_27,30.0,43,free,32186,32186,32186,33,29,33,1,1,30.023,0.0
XML100_3323_12,5.0,42,free,17411,17411,17334,9,9,9,1,1,5.03,0.4442136840890735
XML100_3323_12,5.0,43,free,17532,17532,17334,9,9,9,1,1,5.015,1.142263759086189
XML100_3323_12,5.0,44,free,17426,17426,17334,9,9,9,1,1,5.051,0.5307488173531787
XML100_1371_27,30.0,44,free,32186,32186,32186,33,29,33,1,1,30.023,0.0
XML100_3323_12,10.0,42,free,17409,17409,17334,9,9,9,1,1,10.015,0.4326756663205261
XML100_3323_12,10.0,43,free,17449,17449,17334,9,9,9,1,1,10.017,0.6634360216914734
XML100_3323_12,10.0,44,free,17426,17426,17334,9,9,9,1,1,10.021,0.5307488173531787
XML100_1134_19,2.0,42,free,12075,12075,11938,7,7,7,1,1,2.03,1.147595912213101
XML100_2312_04,30.0,42,free,14556,14556,14486,15,15,15,1,1,30.043,0.4832251829352478
XML100_2312_04,30.0,43,free,14486,14486,14486,15,15,15,1,1,30.024,0.0
XML100_1134_19,2.0,43,free,12105,12105,11938,7,7,7,1,1,2.036,1.3988942871502765
XML100_1134_19,2.0,44,free,12094,12094,11938,7,7,7,1,1,2.024,1.3067515496733122
XML100_1134_19,5.0,42,free,12068,12068,11938,7,7,7,1,1,5.014,1.0889596247277602
XML100_1134_19,5.0,43,free,12018,12018,11938,7,7,7,1,1,5.021,0.6701289998324678
XML100_2312_04,30.0,44,free,14560,14560,14486,15,15,15,1,1,30.017,0.5108380505315477
XML100_1134_19,5.0,44,free,12054,12054,11938,7,7,7,1,1,5.057,0.9716870497570782
